Date,dist_200dma,tsmom_12m,valuation_proxy,yc_10y3m,mfg_emp_yoy
2000-10-31,-0.12949325373638598,0.24450229076232288,2.134863376880444,-0.61,-0.32997568600208194
2000-11-30,-0.3185462348527678,-0.15511119318505384,1.3506578307360733,-0.73,-0.4629093854877864
2000-12-31,-0.3324040777224485,-0.3684446423294453,1.15992623086108,-0.77,-0.5671624515307561
2001-01-31,-0.22171643645546324,-0.2736796502751673,1.349096094754536,0.2,-1.035639898171714
2001-02-28,-0.4049741825683507,-0.5527661573647227,0.7074439358948936,0.07,-1.469567229807911
2001-03-31,-0.47840221386758586,-0.6422675550052539,0.3940453550916896,0.63,-2.1038030285516096
2001-04-30,-0.33838257363774826,-0.5083324786985655,0.6247413286359786,1.4,-2.8729984392161345
2001-05-31,-0.30812432303794435,-0.4585298872632172,0.5590392967788815,1.8,-3.5768028707026223
2001-06-30,-0.23217562605476083,-0.5137375033113906,0.567453515893682,1.77,-4.521538016767856
2001-07-31,-0.2323398304934916,-0.5335420671868814,0.4275357161925759,1.53,-5.432398106454217
2001-08-31,-0.2680927307628884,-0.6395665283922238,0.2358369636394948,1.48,-6.097067160293868
2001-09-30,-0.3836544453945028,-0.6727814127091021,-0.023571275952845583,2.2,-6.46003830750479
2001-10-31,-0.22578288005996872,-0.5842001008457041,0.13211799122067247,2.25,-7.22541673926933
2001-11-30,-0.03668390230430785,-0.3632457395633376,0.3120690059163116,3.0,-8.004883153121733
2001-12-31,-0.02389783881801777,-0.32653624216932253,0.2854752800165876,3.33,-8.550142599383037
2002-01-31,-0.03983834664430275,-0.4021712132875771,0.25324869347144907,3.31,-8.868751826951183
2002-02-28,-0.13793608321123574,-0.2877399969820169,0.09142224355940098,3.09,-8.878449794480325
2002-03-31,-0.05417421989802329,-0.0765548650286032,0.15782008020312244,3.63,-8.826307710473491
2002-04-30,-0.1431407637210359,-0.31160826376162376,0.011254397202642208,3.34,-8.391858112129514
2002-05-31,-0.16239240290175727,-0.3286589980575392,-0.04877537530801235,3.34,-7.935174069627848
2002-06-30,-0.24922042718861548,-0.4255186249292666,-0.17636646980851423,3.16,-7.3638951129413215
2002-07-31,-0.2986430700912973,-0.4285493766627686,-0.2495188281965094,2.8,-6.8677125938587436
2002-08-31,-0.2860421659472333,-0.3587942871390861,-0.2679615922340963,2.45,-6.542228793199034
2002-09-30,-0.332731040286423,-0.28745172932333973,-0.3554673527110983,2.06,-6.186398610076937
2002-10-31,-0.15171463431123722,-0.274945444111497,-0.2371534712193636,2.49,-5.722156138483692
2002-11-30,-0.004696834394349203,-0.3007111672936469,-0.14379570104011274,3.0,-5.263823064770934
2002-12-31,-0.08612563345983759,-0.3758156275074126,-0.24785226405205785,2.61,-5.098014256619143
2003-01-31,-0.05246138988912985,-0.3658437720219233,-0.25177891737183755,2.82,-4.625352835514496
2003-02-28,-0.0007463265682620124,-0.25711804417350037,-0.23466160806555936,2.51,-4.755767495811314
2003-03-31,0.027912006215293328,-0.29883471888228463,-0.23110231111608648,2.69,-4.675257398173926
2003-04-30,0.1125380913951155,-0.13390800417176585,-0.16913549035250341,2.76,-5.093555093555091
2003-05-31,0.17926087773468757,-0.008648187983073763,-0.10480346126974072,2.26,-5.085408788629553
2003-06-30,0.15336078191121527,0.1429317795543117,-0.10661252739013816,2.64,-5.25593253579133
2003-07-31,0.17493469762217795,0.32724246316352823,-0.056072432218692736,3.53,-5.591242789722073
2003-08-31,0.2011232204405009,0.4232050173206474,-0.01445088483765078,3.47,-5.240261024322724
2003-09-30,0.13680686916336504,0.5659682897546687,-0.047379369319522024,3.01,-5.112772008730737
2003-10-31,0.19233485396433347,0.4313620935983029,0.028541751145086947,3.37,-4.814396706288592
2003-11-30,0.15940960038969743,0.2760953598733733,0.027796635994058905,3.41,-4.509071504802565
2003-12-31,0.1511305762628592,0.4912279439912828,0.052540285454664826,3.32,-4.10435249144927
2004-01-31,0.12930082217070837,0.5188240421087635,0.0637219705870895,3.24,-3.8743525929911926
2004-02-29,0.08339942640677878,0.45619666360001876,0.04100954733504869,3.03,-3.3897158322056864
2004-03-31,0.038011631641506005,0.4120610135877014,0.01207301421730711,2.91,-2.94816928197813
2004-04-30,-0.005644350267970832,0.2669836275737669,-0.01990381222121118,3.55,-2.0057502738225597
2004-05-31,0.02817432165183864,0.22400216445033005,0.01900069412465677,3.58,-1.4837202912488023
2004-06-30,0.051840670122824006,0.2620892980710352,0.047029912709322996,3.29,-1.0970813496170573
2004-07-31,-0.032362491578615704,0.09667649138317036,-0.03892085979256399,3.05,-0.49989585503019685
2004-08-31,-0.0499960775427053,0.02048919142522454,-0.06586950884856435,2.54,-0.21563717306621877
2004-09-30,-0.01921505613549912,0.08363890706944166,-0.041353729934826,2.43,-0.09758817788930729
2004-10-31,0.0334545923047489,0.04965437155538277,0.0027589312952791545,2.14,-0.013952839402819883
2004-11-30,0.08951206679276957,0.10338774793751093,0.05303586412955741,2.13,-0.0698519139424425
2004-12-31,0.11084409693480035,0.10436532412223287,0.07895398297120204,2.02,-0.09790894468144629
2005-01-31,0.03469785277385751,0.017782067678599578,0.005193833487875388,1.63,-0.2379119725701484
2005-02-28,0.023446517436308545,0.027639123569064283,-0.006408435071983187,1.6,-0.04902304082918807
2005-03-31,-4.6890789689224555e-05,0.030672752600998665,-0.030642129075589608,1.71,-0.13298803107720802
2005-04-30,-0.040484608070082806,0.013865140944539611,-0.07580121895764791,1.31,-0.4610548375829526
2005-05-31,0.0329789167464114,0.05211362258491481,-0.002249891895798606,1.01,-0.6066099567703209
2005-06-30,-0.010660992230905553,-0.015244220707540057,-0.03896281389894185,0.81,-0.746476908050786
2005-07-31,0.05356522060766067,0.14620926874532292,0.027153861563242954,0.86,-0.7396552927220745
2005-08-31,0.03044142008169648,0.1556462422674818,0.006765381746386412,0.5,-1.0108051585918432
2005-09-30,0.043817194265245885,0.1337259830196853,0.013996075363162497,0.79,-1.1094055260954527
2005-10-31,0.031213946309913476,0.06219065111776545,-0.005380313545075621,0.59,-0.9977672341613175
2005-11-30,0.08228861295637735,0.06430802328587326,0.04750210833257151,0.54,-0.8527890395638171
2005-12-31,0.05247935887914701,0.014853901085185806,0.02465029886775394,0.31,-0.6720336016800887
2006-01-31,0.07780657633110577,0.1257674529346542,0.05932378374998537,0.06,-0.3436908185452725
2006-02-28,0.037786420409329,0.10559087549833279,0.028881028900651362,-0.07,-0.4484304932735439
2006-03-31,0.04715146174672835,0.1491571843490338,0.04340239240963917,0.23,-0.40650406504064707
2006-04-30,0.033627467332319805,0.19701709202557716,0.036127821131978655,0.3,-0.18246894518914036
2006-05-31,-0.04243193653695254,0.023952568700802646,-0.041983622492137274,0.26,-0.38582953349701743
2006-06-30,-0.043622491979131706,0.05470965227713864,-0.0489380836462977,0.14,-0.11949110845574928
2006-07-31,-0.07961882459036751,-0.05962717274758278,-0.09265280395769204,-0.11,-0.2811950790861162
2006-08-31,-0.033027403345523565,-0.0012517974329354642,-0.0547323352163277,-0.31,-0.3239436619718261
